Date,AAPL,AMZN,GOOGL,MSFT,TSLA
2019-01-02,37.50372314453125,76.95649719238281,52.301727294921875,94.39714050292969,20.674667358398438
2019-01-03,33.76808166503906,75.01399993896484,50.85319900512695,90.92447662353516,20.02400016784668
2019-01-04,35.20961380004883,78.76950073242188,53.46164321899414,95.15328216552734,21.179332733154297
2019-01-07,35.13124084472656,81.47550201416016,53.35502624511719,95.27464294433594,22.33066749572754
2019-01-08,35.80095672607422,82.8290023803711,53.82365036010742,95.9654541015625,22.356666564941406
2019-01-09,36.40890884399414,82.97100067138672,53.63916778564453,97.33773040771484,22.568666458129883
2019-01-10,36.525299072265625,82.81099700927734,53.49932861328125,96.71224212646484,22.99799919128418
2019-01-11,36.16667938232422,82.02799987792969,52.78721237182617,95.9654541015625,23.150667190551758
2019-01-14,35.62283706665039,80.8604965209961,52.144527435302734,95.26531982421875,22.293333053588867
2019-01-15,36.35192108154297,83.72799682617188,53.88018035888672,98.02852630615234,22.961999893188477
2019-01-16,36.7960205078125,84.18900299072266,54.02894973754883,98.37391662597656,23.06999969482422
2019-01-17,37.01451110839844,84.66100311279297,54.50551223754883,99.06473541259766,23.15399932861328
2019-01-18,37.242488861083984,84.80999755859375,54.91115951538086,100.54901885986328,20.150667190551758
2019-01-22,36.406532287597656,81.6084976196289,53.48941421508789,98.65399169921875,19.92799949645996
2019-01-23,36.55379104614258,82.0009994506836,53.77604675292969,99.61549377441406,19.172666549682617
2019-01-24,36.2640495300293,82.74649810791016,53.75571060180664,99.13941955566406,19.43400001525879
2019-01-25,37.46572494506836,83.52850341796875,54.6240348815918,100.04493713378906,19.80266761779785
2019-01-28,37.118988037109375,81.89450073242188,53.55040740966797,98.09387969970703,19.7586669921875
2019-01-29,36.7342643737793,79.69400024414062,53.06442642211914,96.09615325927734,19.83066749572754
2019-01-30,39.244503021240234,83.52149963378906,54.44947814941406,99.30744934082031,20.584667205810547
2019-01-31,39.527099609375,85.9365005493164,55.83304214477539,97.48710632324219,20.468000411987305
2019-02-01,39.54608917236328,81.3115005493164,55.47252655029297,95.94677734375,20.81399917602539
2019-02-04,40.66940689086914,81.66549682617188,56.60317611694336,98.70999908447266,20.859333038330078
2019-02-05,41.365234375,82.94049835205078,57.12139129638672,100.09160614013672,21.42333221435547
2019-02-06,41.37950134277344,82.01300048828125,55.68427276611328,98.980712890625,21.148000717163086
2019-02-07,40.59578323364258,80.71849822998047,54.84223175048828,98.27124786376953,20.500667572021484
2019-02-08,40.64348602294922,79.41100311279297,54.66717529296875,98.64464569091797,20.386667251586914
2019-02-11,40.409751892089844,79.55000305175781,54.65428161621094,98.2525634765625,20.856000900268555
2019-02-12,40.757965087890625,81.90049743652344,55.916847229003906,99.7835464477539,20.78733253479004
2019-02-13,40.58863830566406,82.0,55.968910217285156,99.7088623046875,20.544666290283203
2019-02-14,40.736507415771484,81.13249969482422,55.9971809387207,99.79289245605469,20.251333236694336
2019-02-15,40.64586639404297,80.39749908447266,55.522605895996094,101.02511596679688,20.525333404541016
2019-02-19,40.76750564575195,81.37899780273438,55.86378479003906,100.97843933105469,20.375999450683594
2019-02-20,41.02986145019531,81.1050033569336,55.570213317871094,100.45344543457031,20.17066764831543
2019-02-21,40.79851150512695,80.97200012207031,54.75792694091797,102.57219696044922,19.415332794189453
2019-02-22,41.254051208496094,81.5780029296875,55.370365142822266,104.03469848632812,19.6473331451416
2019-02-25,41.55457305908203,81.6500015258789,55.40855026245117,104.61595916748047,19.917999267578125
2019-02-26,41.57842254638672,81.81999969482422,55.64063262939453,105.33779907226562,19.857332229614258
2019-02-27,41.70721435546875,82.05449676513672,55.68427276611328,105.1596908569336,20.982667922973633
2019-02-28,41.296993255615234,81.99150085449219,55.86577224731445,105.02845764160156,21.325332641601562
2019-03-01,41.731075286865234,83.58650207519531,56.955265045166016,105.4971694946289,19.652666091918945
2019-03-04,41.94095230102539,84.80850219726562,57.19825744628906,105.24407196044922,19.02400016784668
2019-03-05,41.864627838134766,84.62149810791016,57.98029327392578,104.71908569335938,18.43600082397461
2019-03-06,41.623741149902344,83.44750213623047,57.76953887939453,104.76595306396484,18.416000366210938
2019-03-07,41.14196014404297,81.29750061035156,57.0708122253418,103.49092864990234,18.439332962036133
2019-03-08,41.23975372314453,81.04000091552734,57.02717590332031,103.60343933105469,18.94266700744629
2019-03-11,42.66838073730469,83.53099822998047,58.47966384887695,105.77845001220703,19.39466667175293
2019-03-12,43.14778518676758,83.65499877929688,59.37179183959961,106.51908874511719,18.890666961669922
